City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Bubaque,GW,11.2833,-15.8333,82.81,74,33,6.71
94,Cape Town,ZA,-33.9258,18.4232,62.91,86,1,1.01
95,Sorland,NO,67.667,12.6934,47.5,84,100,11.7
96,Andros Town,BS,24.7,-77.7667,80.37,72,90,14.07
97,Taoudenni,ML,22.6783,-3.9836,70.57,15,14,10.11
98,Cidreira,BR,-30.1811,-50.2056,53.87,75,0,3.24
99,Mapiripan,CO,2.8892,-72.1256,64.71,96,100,8.19
100,Carnarvon,AU,-24.8667,113.6333,82.36,39,0,10.94
101,Iqaluit,CA,63.7506,-68.5145,15.53,86,100,29.93
102,Saint-Augustin,CA,51.226,-58.6502,31.35,53,63,24.25
103,San Cristobal,VE,7.7669,-72.225,71.78,99,99,3.29
104,Vaitape,PF,-16.5167,-151.75,77.61,80,100,16.4
105,Cairo,EG,30.0626,31.2497,65.16,82,0,0.0
106,Manzanillo,CU,20.3433,-77.1167,74.35,93,92,9.37
107,Hamilton,US,39.1834,-84.5333,58.05,93,100,4.61
108,Lebu,CL,-37.6167,-73.65,52.72,94,16,0.16
109,Myrtle Beach,US,33.6891,-78.8867,64.44,87,0,4.61
110,Havelock,US,34.8791,-76.9013,60.94,90,0,10.36
111,Husavik,IS,66.0449,-17.3389,39.02,99,100,11.56
112,Rock Sound,BS,24.9,-76.2,80.44,69,77,13.31
113,Chuy,UY,-33.6971,-53.4616,48.78,68,0,4.05
114,Thompson,CA,55.7435,-97.8558,23.94,92,100,12.37
115,Hofn,IS,64.2539,-15.2082,40.19,78,98,13.38
116,Talnakh,RU,69.4865,88.3972,7.09,96,100,7.81
117,Faya,SA,18.3851,42.4509,59.52,74,9,0.58
118,Ames,US,42.0347,-93.6199,64.31,60,0,10.36
119,Calvinia,ZA,-31.4707,19.776,58.69,74,6,4.63
120,Oriximina,BR,-1.7656,-55.8661,73.26,96,85,3.04
121,Khasan,RU,42.4308,130.6434,43.9,25,1,22.06
122,Oistins,BB,13.0667,-59.5333,80.69,78,75,16.11
123,Mabaruma,GY,8.2,-59.7833,74.23,98,100,2.42
124,Stony Plain,CA,53.5334,-114.0021,21.58,82,100,9.22
125,Aviles,ES,43.5547,-5.9248,60.37,84,100,2.3
126,Merke,KZ,42.8728,73.1786,53.37,63,20,8.19
127,Kenora,CA,49.8167,-94.4337,57.78,67,66,10.0
128,Panaba,MX,21.2833,-88.2667,75.88,92,100,6.22
129,Lompoc,US,34.6391,-120.4579,52.02,97,40,5.75
130,Balkhash,KZ,46.844,74.9804,38.01,65,0,11.18
131,Pevek,RU,69.7008,170.3133,-13.45,98,45,4.27
132,Gezing,AT,47.9178,13.1299,46.35,99,64,2.86
133,Nesbyen,NO,60.5681,9.1027,43.02,98,100,4.0
134,Atar,MR,20.5169,-13.0499,73.96,11,0,8.21
135,San Martin,AR,-33.081,-68.4681,59.18,19,18,5.57
136,Hazorasp,UZ,41.3194,61.0742,51.64,31,12,5.39
137,Luwuk,ID,-0.9516,122.7875,85.3,75,98,1.72
138,Brunswick,US,41.2381,-81.8418,51.58,62,20,6.91
139,Usevya,TZ,-7.1,31.2333,77.29,36,73,9.08
140,Alice Springs,AU,-23.7,133.8833,74.75,17,0,12.66
141,Port-Gentil,GA,-0.7193,8.7815,76.24,88,100,7.92
142,Cabedelo,BR,-6.9811,-34.8339,75.87,75,28,8.46
143,Bonga,ET,7.2833,36.2333,63.5,75,41,1.88
144,Hay River,CA,60.8156,-115.7999,12.81,89,81,10.4
145,Geraldton,AU,-28.7667,114.6,84.61,28,0,14.97
146,Beloha,MG,-25.1667,45.05,74.19,66,70,8.79
147,La Libertad,EC,-2.2333,-80.9,68.2,81,100,9.53
148,Kutum,SD,14.2,24.6667,58.96,29,23,6.87
149,San Quintin,MX,30.4833,-115.95,61.65,63,22,16.75
150,Salinopolis,BR,-0.6136,-47.3561,77.95,87,41,4.34
151,Itoman,JP,26.1247,127.6694,83.17,66,40,16.11
152,Dakar,SN,14.6937,-17.4441,83.28,49,5,14.25
153,Mount Isa,AU,-20.7333,139.5,82.17,13,0,13.8
154,Batemans Bay,AU,-35.7167,150.1833,64.09,54,88,4.52
155,Qaanaaq,GL,77.484,-69.3632,3.33,69,81,7.47
156,Robertsport,LR,6.7533,-11.3686,79.47,79,99,2.93
157,Camacha,PT,33.0833,-16.3333,67.42,83,75,5.75
158,Port Shepstone,ZA,-30.7414,30.455,67.23,81,81,9.22
159,Copala,MX,16.65,-98.9833,77.05,83,1,2.68
160,Nanortalik,GL,60.1432,-45.2371,34.84,79,100,13.13
161,Misratah,LY,32.3754,15.0925,69.57,63,0,2.77
162,Mar Del Plata,AR,-38.0023,-57.5575,55.09,91,40,11.99
163,Hami,CN,42.8,93.45,54.23,27,0,3.36
164,Fairbanks,US,64.8378,-147.7164,19.4,79,100,0.0
165,Heihe,CN,50.2441,127.4902,28.98,33,76,15.17
166,Port Elizabeth,ZA,-33.918,25.5701,63.32,99,100,1.99
167,Kyra,RU,49.5776,111.9753,33.01,34,1,6.13
168,Yaan,NG,7.3833,8.5667,71.58,97,98,4.7
169,Plano,US,33.0198,-96.6989,67.95,80,40,12.66
170,Terra Nova,BR,-12.3667,-40.6667,70.09,91,100,2.19
171,Norman Wells,CA,65.282,-126.8329,3.22,88,50,13.24
172,Honningsvag,NO,70.9821,25.9704,38.95,87,0,28.77
173,Puerto Leguizamo,CO,-0.1934,-74.7819,60.58,93,100,1.52
174,Wajir,KE,1.7471,40.0573,77.63,73,71,13.4
175,Port Said,EG,31.2565,32.2841,72.73,64,14,10.74
176,Keti Bandar,PK,24.1447,67.4497,84.96,53,0,10.47
177,Pochutla,MX,15.7432,-96.4661,73.89,83,6,3.6
178,Nemuro,JP,43.3236,145.575,54.91,61,100,17.13
179,Ishigaki,JP,24.3448,124.1572,79.05,85,59,17.49
180,Gilbues,BR,-9.8317,-45.3439,74.57,77,98,1.01
181,Boone,US,39.0334,-92.3335,63.39,68,1,9.89
182,Paita,PE,-5.0892,-81.1144,62.51,82,33,10.69
183,Narsaq,GL,60.9167,-46.05,19.62,66,100,8.34
184,Ponta Do Sol,PT,32.6667,-17.1,68.72,89,88,0.38
185,Mehamn,NO,71.0357,27.8492,37.35,87,0,14.97
186,Neuquen,AR,-38.9516,-68.0591,66.54,24,0,6.91
187,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,79,100,13.8
188,San Patricio,US,28.017,-97.5169,75.07,91,69,4.25
189,Iwanai,JP,42.9744,140.5089,43.05,67,100,13.51
190,Eskisehir,TR,39.7767,30.5206,31.91,80,0,2.3
191,Kurilsk,RU,45.2333,147.8833,45.48,79,91,9.78
192,Bismarck,US,46.8083,-100.7837,44.44,70,0,20.71
193,Livingston,GB,55.9029,-3.5226,45.88,84,0,12.66
194,College,US,64.8569,-147.8028,19.38,76,75,0.0
195,Georgetown,MY,5.4112,100.3354,85.95,73,20,2.3
196,Olafsvik,IS,64.8945,-23.7142,38.41,75,74,19.69
197,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,3.44
198,Maku,IR,39.2911,44.4521,46.96,43,3,3.83
199,Boguchany,RU,58.3814,97.4531,33.73,76,100,4.85
200,Kyzyl-Suu,KG,42.3414,78.0056,46.9,43,88,4.14
201,Bac Lieu,VN,9.285,105.7244,80.51,83,100,11.59
202,Naze,JP,28.3667,129.4833,73.24,77,77,10.42
203,Okakarara,NA,-20.5833,17.4333,69.01,28,6,4.32
204,Whitecourt,CA,54.1502,-115.6855,14.05,83,62,0.56
205,Kizukuri,JP,40.8061,140.3861,52.95,94,100,7.43
206,Esperance,AU,-33.8667,121.9,67.8,56,94,8.7
207,Road Town,VG,18.4167,-64.6167,80.69,75,61,13.6
208,Kon Tum,VN,14.35,108.0,81.72,50,83,2.84
209,Olinda,BR,-8.0089,-34.8553,78.53,73,40,5.75
210,Faratsiho,MG,-19.4,46.95,66.22,63,56,1.88
211,Arimalam,IN,10.2667,78.9,81.34,71,100,11.01
212,Jiangyou,CN,31.7667,104.7167,69.12,59,84,4.14
213,Gamba,GA,-2.65,10.0,74.41,94,100,5.53
214,Santiago Del Estero,AR,-27.7951,-64.2615,57.49,29,0,8.37
215,Skjervoy,NO,70.0311,20.9714,39.2,77,24,10.49
216,Lyngseidet,NO,69.5763,20.2189,39.2,87,47,12.93
217,Hede,CN,33.7681,120.2517,65.93,41,4,13.15
218,Tautira,PF,-17.7333,-149.15,75.33,87,98,21.45
219,Katsuura,JP,35.1333,140.3,72.63,67,11,20.8
220,Warrington,GB,53.3925,-2.5802,48.92,88,20,5.75
221,Bonoua,CI,5.2741,-3.595,74.82,92,80,3.4
222,Kavieng,PG,-2.5744,150.7967,84.49,69,68,1.9
